,Fig. NO.,Part NO.,Description,Qty.,Remarks
0,HB1,Buy,"BOLT, M6 X 16MM",1,15/04/2013 15/04/2013
1,HB1,Buy,"BOLT, M6 X 16MM",1,15/04/2013 15/04/2013
2,HB2,Buy,"BOLT, M18 X 1.5 X 12",1,15/04/2013 15/04/2013
3,HB2,Buy,"BOLT, M18 X 1.5 X 12",1,15/04/2013 15/04/2013
4,HB3,Buy,"BOLT, M10 X 70",1,15/04/2013 15/04/2013
5,HB3,Buy,"BOLT, M10 X 70",1,15/04/2013 15/04/2013
6,HB4,Buy,"BOLT, M10X65MM",1,15/04/2013 15/04/2013
7,HB4,Buy,"BOLT, M10X65MM",1,15/04/2013 15/04/2013
8,HB5,Buy,"BOLT, M10 X 38MM",1,15/04/2013 15/04/2013
9,HB5,Buy,"BOLT, M10 X 38MM",1,15/04/2013 15/04/2013
10,HB6,Buy,"BOLT, M10 X 45MM",1,15/04/2013 15/04/2013
11,HB6,Buy,"BOLT, M10 X 45, ALTERNATE PART",1,15/04/2013 15/04/2013
12,HB6,Buy,"BOLT, M10 X 45MM",1,15/04/2013 15/04/2013
13,HB6,Buy,"BOLT, M10 X 45, ALTERNATE PART",1,15/04/2013 15/04/2013
14,HB7,Buy,"BOLT, M10 X 110MM",1,15/04/2013 15/04/2013
15,HB7,Buy,"BOLT, M10 X 110MM",1,15/04/2013 15/04/2013
16,HB8,Buy,"BOLT, M8 X 50MM",1,15/04/2013 15/04/2013
17,HB8,Buy,"BOLT, M8 X 50MM",1,15/04/2013 15/04/2013
18,HB9,Buy,"BOLT, M8 X 20MM",1,15/04/2013 15/04/2013
19,HB9,Buy,"BOLT, M8 X 20MM",1,15/04/2013 15/04/2013
20,HM1,Buy,HARDWARE - MISCELLANEOUS,1,15/04/2013 15/04/2013
21,HM1,Buy,Hardware - Miscellaneous,1,15/04/2013 15/04/2013
22,HN1,Buy,"NUT, M8",1,15/04/2013 15/04/2013
23,HN1,Buy,Nut,1,15/04/2013 15/04/2013
24,7B412,Buy,BEARING ASSY - NEEDLE,1,15/04/2013 15/04/2013
25,7B412,Buy,BEARING ASSY - NEEDLE,1,15/04/2013 15/04/2013
26,7J309,Buy,CAP,1,15/04/2013 15/04/2013
27,7J309,Buy,CAP,1,15/04/2013 15/04/2013
28,7L013,Buy,PLUG,1,15/04/2013 15/04/2013
29,7L013,Buy,PLUG,1,15/04/2013 15/04/2013
30,7L027,Buy,MAGNET,1,15/04/2013 15/04/2013
31,7L027,Buy,MAGNET,1,15/04/2013 15/04/2013
32,7L282,Buy,VENT ASSY,1,15/04/2013 15/04/2013
33,7L282,Buy,Vent Assy,1,15/04/2013 15/04/2013
34,7N080,Buy,SLEEVE,1,15/04/2013 15/04/2013
35,7N080,Buy,SLEEVE,1,15/04/2013 15/04/2013
36,1177,Buy,SEAL,1,15/04/2013 15/04/2013
37,1177,Buy,SEAL,1,15/04/2013 15/04/2013
38,7005,Buy,CASE ASSY - TRANSMISSION,1,15/04/2013 15/04/2013
39,7005,Buy,CASE ASSY - TRANSMISSION,1,15/04/2013 15/04/2013
40,7049,Buy,RETAINER - BEARING,1,15/04/2013 15/04/2013
41,7049,Buy,RETAINER - BEARING,1,15/04/2013 15/04/2013
42,7052,Buy,SEAL ASSY - OIL,1,15/04/2013 15/04/2013
43,7052,Buy,SEAL ASSY - OIL,1,15/04/2013 15/04/2013
